z,S_equivalent,u,u_z,sigma
-1.2200000000,nan,1.9513388050,-0.2400487386,0.1
-1.2000000000,nan,1.9461973120,-0.2754200531,0.1
-1.1800000000,nan,1.9403220030,-0.3132851793,0.1
-1.1600000000,nan,1.9336659050,-0.3533073596,0.1
-1.1400000000,nan,1.9261897090,-0.3950605807,0.1
-1.1200000000,nan,1.9178634820,-0.4380394442,0.1
-1.1000000000,nan,1.9086681310,-0.4816745664,0.1
-1.0800000000,nan,1.8985964990,-0.5253529977,0.1
-1.0600000000,nan,1.8876540110,-0.5684426564,0.1
-1.0400000000,nan,1.8758587930,-0.6103193118,0.1
-1.0200000000,nan,1.8632412380,-0.6503942981,0.1
-1.0000000000,nan,1.8498430210,-0.6881409353,0.1
-0.9800000000,nan,1.8357156010,-0.7231176335,0.1
-0.9600000000,nan,1.8209183160,-0.7549858616,0.1
-0.9400000000,nan,1.8055161670,-0.7835215808,0.1
-0.9200000000,nan,1.7895774520,-0.8086193201,0.1
-0.9000000000,nan,1.7731713940,-0.8302887606,0.1
-0.8800000000,nan,1.7563659020,-0.8486443924,0.1
-0.8600000000,nan,1.7392256180,-0.8638894460,0.1
-0.8400000000,nan,1.7218103240,-0.8762957818,0.1
-0.8200000000,nan,1.7041737870,-0.8861816969,0.1
-0.8000000000,nan,1.6863630560,-0.8938896458,0.1
-0.7800000000,nan,1.6684182010,-0.8997656815,0.1
-0.7600000000,nan,1.6503724290,-0.9041420399,0.1
-0.7400000000,nan,1.6322525190,-0.9073237939,0.1
-0.7200000000,nan,1.6140794770,-0.9095799542,0.1
-0.7000000000,nan,1.5958693210,-0.9111388889,0.1
-0.6800000000,nan,1.5776339220,-0.9121875246,0.1
-0.6600000000,nan,1.5593818200,-0.9128735207,0.1
-0.6400000000,nan,1.5411189810,-0.9133094902,0.1
-0.6200000000,nan,1.5228494410,-0.9135783577,0.1
-0.6000000000,nan,1.5045758470,-0.9137390700,0.1
-0.5800000000,nan,1.4862998780,-0.9138320601,0.1
-0.5600000000,nan,1.4680225640,-0.9138840737,0.1
-0.5400000000,nan,1.4497445150,-0.9139121569,0.1
-0.5200000000,nan,1.4314660780,-0.9139267716,0.1
-0.5000000000,nan,1.4131874440,-0.9139340897,0.1
-0.4800000000,nan,1.3949087140,-0.9139376063,0.1
-0.4600000000,nan,1.3766299400,-0.9139392340,0.1
-0.4400000000,nan,1.3583511450,-0.9139399432,0.1
-0.4200000000,nan,1.3400723420,-0.9139402430,0.1
-0.4000000000,nan,1.3217935350,-0.9139403832,0.1
-0.3800000000,nan,1.3035147270,-0.9139403878,0.1
-0.3600000000,nan,1.2852359200,-0.9139404422,0.1
-0.3400000000,nan,1.2669571090,-0.9139404700,0.1
-0.3200000000,nan,1.2486783010,-0.9139403405,0.1
-0.3000000000,nan,1.2303994950,-0.9139405372,0.1
-0.2800000000,nan,1.2121206790,-0.9139404628,0.1
-0.2600000000,nan,1.1938418770,-0.9139401975,0.1
-0.2400000000,nan,1.1755630720,-0.9139407716,0.1
-0.2200000000,nan,1.1572842460,-0.9139403618,0.1
-0.2000000000,nan,1.1390054570,-0.9139399725,0.1
-0.1800000000,nan,1.1207266470,-0.9139412066,0.1
-0.1600000000,nan,1.1024478090,-0.9139401500,0.1
-0.1400000000,nan,1.0841690410,-0.9139396436,0.1
-0.1200000000,nan,1.0658902230,-0.9139418121,0.1
-0.1000000000,nan,1.0476113690,-0.9139399465,0.1
-0.0800000000,nan,1.0293326250,-0.9139391555,0.1
-0.0600000000,nan,1.0110538020,-0.9139424176,0.1
-0.0400000000,nan,0.9927749285,-0.9139400100,0.1
-0.0200000000,nan,0.9744962020,-0.9139385133,0.1
0.0000000000,nan,0.9562173879,-0.9139426996,0.1
0.0200000000,nan,0.9379384940,-0.9139405508,0.1
0.0400000000,nan,0.9196597659,-0.9139379474,0.1
0.0600000000,nan,0.9013809761,-0.9139423306,0.1
0.0800000000,nan,0.8831020727,-0.9139414402,0.1
0.1000000000,nan,0.8648233185,-0.9139378854,0.1
0.1200000000,nan,0.8465445573,-0.9139413061,0.1
0.1400000000,nan,0.8282656663,-0.9139421488,0.1
0.1600000000,nan,0.8099868713,-0.9139385766,0.1
0.1800000000,nan,0.7917081232,-0.9139401304,0.1
0.2000000000,nan,0.7734292661,-0.9139421544,0.1
