# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=64 N_y=64 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.859375,2.484375,5.730456443,1199.36219,1.579389171e-07,3.67886829e-07,5.777275635e-10
-2.859375,2.578125,5.730456443,1317.241671,9.760441726e-08,3.853114963e-07,-5.417142961e-11
-2.859375,2.671875,5.730456443,1446.706953,2.529725765e-07,3.217349387e-07,-5.851062752e-10
-2.859375,2.765625,5.730456443,1588.896749,-3.126350831e-09,2.897951643e-07,2.360552014e-10
-2.859375,2.859375,5.730456443,1745.061689,3.356921191e-09,1.947088979e-07,-1.014267822e-09
-2.859375,2.953125,5.730456443,1916.575322,1.785453863e-07,4.363294185e-08,-3.917582304e-10
-2.765625,-2.953125,6.293675158,5.217639967,2.064157281e-08,6.127777534e-08,4.602404812e-07
-2.765625,-2.859375,6.293675158,5.730456443,8.217878747e-08,1.843915202e-07,3.91059574e-07
-2.765625,-2.765625,6.293675158,6.293675158,9.172188764e-08,2.876821501e-07,2.954298181e-07
-2.765625,-2.671875,6.293675158,6.912249904,1.895952168e-07,3.652189297e-07,1.859973914e-07
-2.765625,-2.578125,6.293675158,7.591621356,2.320821664e-07,4.209180406e-07,1.02624324e-07
-2.765625,-2.484375,6.293675158,8.337764926,2.228191461e-07,4.372259484e-07,2.3045091e-08
-2.765625,-2.390625,6.293675158,9.157243322,2.603352388e-07,4.284361373e-07,-2.707949473e-08
-2.765625,-2.296875,6.293675158,10.05726427,1.631440953e-07,4.004766755e-07,-7.335215693e-08
-2.765625,-2.203125,6.293675158,11.0457439,2.18928022e-07,3.563503926e-07,-9.536554626e-08
-2.765625,-2.109375,6.293675158,12.13137638,1.313624137e-07,2.978699858e-07,-1.003006749e-07
-2.765625,-2.015625,6.293675158,13.32371041,1.455647747e-07,2.305005627e-07,-1.090938008e-07
-2.765625,-1.921875,6.293675158,14.63323316,1.248481697e-07,1.723762084e-07,-8.761349479e-08
-2.765625,-1.828125,6.293675158,16.07146254,8.770489733e-08,1.242664911e-07,-7.864634736e-08
-2.765625,-1.734375,6.293675158,17.65104849,9.853729764e-08,9.556023596e-08,-4.785330955e-08
-2.765625,-1.640625,6.293675158,19.38588426,5.604886854e-08,7.635855824e-08,-3.42337032e-08
-2.765625,-1.546875,6.293675158,21.29122862,1.491869131e-07,6.95496592e-08,-9.176182453e-09
-2.765625,-1.453125,6.293675158,23.38384001,9.41408251e-08,9.815011355e-08,7.273816957e-09
-2.765625,-1.359375,6.293675158,25.68212401,1.740943853e-07,1.430256825e-07,1.926957859e-08
-2.765625,-1.265625,6.293675158,28.20629517,1.641284642e-07,1.860309528e-07,2.809358189e-08
-2.765625,-1.171875,6.293675158,30.97855485,2.260849441e-07,2.306719252e-07,2.952920044e-08
-2.765625,-1.078125,6.293675158,34.02328646,2.052285882e-07,2.837437055e-07,3.164515075e-08
-2.765625,-0.984375,6.293675158,37.36726994,2.732786474e-07,3.324892916e-07,2.806269761e-08
-2.765625,-0.890625,6.293675158,41.03991731,2.664864788e-07,3.603440828e-07,2.168573927e-08
-2.765625,-0.796875,6.293675158,45.07353134,2.643419701e-07,3.77545469e-07,1.70030659e-08
-2.765625,-0.703125,6.293675158,49.50358969,2.505363175e-07,3.720713712e-07,8.809862924e-09
-2.765625,-0.609375,6.293675158,54.36905695,1.985464454e-07,3.51448164e-07,3.655503663e-09
-2.765625,-0.515625,6.293675158,59.71272734,2.311940899e-07,3.245157801e-07,8.910041904e-10
-2.765625,-0.421875,6.293675158,65.58160113,1.970203859e-07,2.800388563e-07,-5.587322758e-09
-2.765625,-0.328125,6.293675158,72.027298,1.338801955e-07,2.202856335e-07,-7.177215119e-09
-2.765625,-0.234375,6.293675158,79.10651109,1.045019909e-07,1.758116209e-07,-1.026885558e-08
