x,S,u_h,u_exact,error
0.0234375,102.3714317,12.006517,12.01235938,0.005842376792
0.046875,104.7991002,13.70695846,13.71283175,0.005873293986
0.0703125,107.2843392,15.54560025,15.55149296,0.005892711025
0.09375,109.828514,17.52079317,17.52668305,0.005889883809
0.1171875,112.4330222,19.62989699,19.63575101,0.005854021193
0.140625,115.0992945,21.86947117,21.87524676,0.005775595381
0.1640625,117.8287956,24.23548422,24.2411317,0.005647479839
0.1875,120.6230249,26.72352936,26.72899514,0.005465782355
0.2109375,123.4835175,29.3290346,29.33426489,0.005230288745
0.234375,126.4118448,32.04745699,32.05240148,0.004944488921
0.2578125,129.4096153,34.8744529,34.87906811,0.004615212612
0.28125,132.4784759,37.80601862,37.81027057,0.004251948705
0.3046875,135.6201124,40.83859853,40.84246448,0.003865953966
0.328125,138.8362507,43.96915995,43.97262922,0.003469270909
0.3515625,142.1286575,47.19523674,47.19831051,0.003073770972
0.375,145.4991415,50.51494472,50.51763504,0.00269032074
0.3984375,148.9495542,53.92697349,53.92930163,0.00232814065
0.421875,152.4817911,57.43055981,57.4325542,0.001994392731
0.4453125,156.0977925,61.0254477,61.0271417,0.001694001981
0.46875,159.799545,64.7118402,64.71326989,0.001429689047
0.4921875,163.589082,68.49034719,68.49154937,0.001202172782
0.515625,167.4684853,72.36193277,72.36294326,0.001010490933
0.5390625,171.439886,76.32786497,76.32871735,0.0008523853269
0.5625,175.5054657,80.38966976,80.39039447,0.0007247027297
0.5859375,179.6674579,84.54909041,84.54971418,0.0006237721107
0.609375,183.9281489,88.8080527,88.80859843,0.0005457307577
0.6328125,188.2898792,93.16863619,93.16912298,0.0004867837333
0.65625,192.755045,97.63305097,97.63349436,0.0004433918012
0.6796875,197.3260992,102.2036195,102.2040319,0.0004123912914
0.703125,202.0055528,106.8827627,106.8831538,0.0003910550091
0.7265625,206.7959764,111.6729902,111.6733673,0.0003771062984
0.75,211.7000017,116.5768924,116.5772611,0.0003686991849
0.7734375,216.7203225,121.5971364,121.5975008,0.0003643766939
0.796875,221.8596969,126.7364627,126.7368257,0.0003630176007
0.8203125,227.120948,131.9976833,131.9980471,0.0003637795587
0.84375,232.506966,137.3836815,137.3840475,0.0003660441925
0.8671875,238.0207098,142.8974116,142.897781,0.0003693676269
0.890625,243.6652083,148.5419001,148.5422735,0.0003734382064
0.9140625,249.4435622,154.3202459,154.320624,0.0003780418868
0.9375,255.3589458,160.2356226,160.2360057,0.0003830349419
0.9609375,261.4146087,166.2912792,166.2916675,0.0003883231342
0.984375,267.6138775,172.4905419,172.4909357,0.0003938462878
1.0078125,273.9601577,178.836816,178.8372156,0.0003995671757
1.03125,280.4569356,185.3335879,185.3339934,0.0004054637189
1.0546875,287.1077802,191.9844263,191.9848378,0.000411523645
1.078125,293.916345,198.7929848,198.7934026,0.0004177409149
1.1015625,300.8863702,205.7630037,205.7634278,0.0004241133879
1.125,308.0216849,212.8983118,212.8987425,0.0004306413272
1.1484375,315.3262086,220.2028289,220.2032662,0.0004373264662
1.171875,322.8039542,227.6805676,227.6810117,0.000444171435
1.1953125,330.4590294,235.3356357,235.3360869,0.0004511794178
1.21875,338.2956394,243.1722386,243.172697,0.0004583539522
1.2421875,346.3180893,251.1946812,251.1951469,0.0004656988123
1.265625,354.5307861,259.4073705,259.4078437,0.0004732179448
