# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.7421875,-0.1171875,0.3207743656,88.94184116,-1.908205126e-06,-6.945783972e-05,-4.670523576e-08
-5.7421875,0.1171875,0.3207743656,112.4330222,-1.640437873e-06,-7.621388062e-05,-2.773866518e-08
-5.7421875,0.3515625,0.3207743656,142.1286575,-2.622541771e-06,-7.912783568e-05,-1.025477623e-08
-5.7421875,0.5859375,0.3207743656,179.6674579,-2.635037247e-06,-7.992894012e-05,4.173714806e-10
-5.7421875,0.8203125,0.3207743656,227.120948,-2.471271041e-06,-7.660562604e-05,7.777800212e-09
-5.7421875,1.0546875,0.3207743656,287.1077802,-2.285051926e-06,-6.928592293e-05,1.223179464e-08
-5.7421875,1.2890625,0.3207743656,362.9382414,-1.975013002e-06,-5.866287071e-05,1.471769869e-08
-5.7421875,1.5234375,0.3207743656,458.7969264,-1.438108463e-06,-4.57768122e-05,1.277438991e-08
-5.7421875,1.7578125,0.3207743656,579.9736584,-9.482444674e-07,-3.251791769e-05,9.170899944e-09
-5.7421875,1.9921875,0.3207743656,733.1554008,-6.292792447e-07,-1.920418152e-05,7.4781472e-09
-5.7421875,2.2265625,0.3207743656,926.7952672,-2.175235582e-07,-6.18878756e-06,6.532523388e-09
-5.7421875,2.4609375,0.3207743656,1171.578995,2.995323871e-07,5.852316714e-06,4.66162722e-09
-5.7421875,2.6953125,0.3207743656,1481.01462,6.394559081e-07,1.621080168e-05,2.734478455e-09
-5.7421875,2.9296875,0.3207743656,1872.177903,1.110052259e-06,2.797930914e-05,2.090108798e-09
-5.7421875,3.1640625,0.3207743656,2366.654624,8.88535301e-07,3.494554551e-05,1.595423039e-09
-5.7421875,3.3984375,0.3207743656,2991.73177,1.421636229e-06,4.058612056e-05,9.916279778e-10
-5.7421875,3.6328125,0.3207743656,3781.903321,1.558717471e-06,4.549400071e-05,4.663633842e-10
-5.7421875,3.8671875,0.3207743656,4780.773756,1.601933771e-06,4.811490226e-05,1.481137971e-10
