S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
32.08701515,-1.686148177e-05,1.156892092e-71,-4.23276155e-05,2.226549253e-29,-8.416209518e-05,3.3417735e-15,-0.0001665478274,4.814390714e-08
32.84793679,-1.73740945e-05,8.266247671e-69,-4.269057932e-05,3.047746463e-28,-8.446347417e-05,1.223962735e-14,-0.0001669947673,9.121392008e-08
33.62690316,-1.761503191e-05,5.15079127e-66,-4.283429652e-05,3.95055657e-27,-8.453224407e-05,4.363326937e-14,-0.0001671515213,1.705291105e-07
34.42434219,-1.657043725e-05,2.798966306e-63,-4.142317661e-05,4.849295234e-26,-8.298229972e-05,1.514025926e-13,-0.0001656811796,3.146013517e-07
35.24069194,-1.663876882e-05,1.326442145e-60,-4.142933521e-05,5.637003895e-25,-8.29150536e-05,5.113555216e-13,-0.0001655186437,5.727363145e-07
36.07640087,-1.631679812e-05,5.482204108e-58,-4.094517718e-05,6.205495124e-24,-8.233644634e-05,1.681106591e-12,-0.0001646621029,1.028937e-06
36.93192806,-1.630018685e-05,1.976097167e-55,-4.078954409e-05,6.46952743e-23,-8.213643106e-05,5.379715848e-12,-0.0001638645214,1.824194226e-06
37.80774349,-1.608038854e-05,6.212383405e-53,-4.057473201e-05,6.387736087e-22,-8.193128949e-05,1.675810528e-11,-0.000162496131,3.191614164e-06
38.70432829,-1.634428606e-05,1.703399368e-50,-4.096040548e-05,5.973249212e-21,-8.236495124e-05,5.081621585e-11,-0.0001607976892,5.510817305e-06
39.62217499,-1.641120664e-05,4.073758089e-48,-4.108652247e-05,5.290239297e-20,-8.258479434e-05,1.500039113e-10,-0.0001573515525,9.390697151e-06
40.56178779,-1.644323534e-05,8.497822932e-46,-4.113418849e-05,4.437655732e-19,-8.279520099e-05,4.310597505e-10,-0.0001514101052,1.579306127e-05
41.52368287,-1.608751909e-05,1.546208227e-43,-4.095880851e-05,3.525810965e-18,-8.284577695e-05,1.205922997e-09,-0.0001412495047,2.621395763e-05
42.50838863,-1.648249688e-05,2.454095331e-41,-4.15620614e-05,2.653420649e-17,-8.368782198e-05,3.284447825e-09,-0.0001255069131,4.294459168e-05
43.51644602,-1.66362867e-05,3.397774433e-39,-4.188341554e-05,1.891518111e-16,-8.427783823e-05,8.709240517e-09,-9.968029203e-05,6.943949535e-05
44.54840879,-1.693590647e-05,4.10388526e-37,-4.242313552e-05,1.27728882e-15,-8.514558281e-05,2.248478957e-08,-5.912800337e-05,0.0001108256347
45.60484386,-1.682104933e-05,4.324270286e-35,-4.249460142e-05,8.170717154e-15,-8.553948495e-05,5.652032566e-08,4.422436645e-06,0.0001745917728
46.68633157,-1.738030305e-05,3.975287185e-33,-4.327444012e-05,4.951576154e-14,-8.660938071e-05,1.383393401e-07,0.000100647583,0.0002715016293
47.79346602,-1.778488801e-05,3.188491302e-31,-4.396545125e-05,2.842892287e-13,-8.748536953e-05,3.297093698e-07,0.0002456780123,0.0004167758056
48.9268554,-1.768121968e-05,2.23145502e-29,-4.41452058e-05,1.546444378e-12,-8.76119096e-05,7.652129173e-07,0.0004611403606,0.0006315843416
50.08712234,-1.826088216e-05,1.36271402e-27,-4.5033005e-05,7.970591276e-12,-8.790491357e-05,1.729502823e-06,0.0007748622886,0.0009448821041
51.27490422,-1.834566622e-05,7.262149971e-26,-4.543700143e-05,3.892752711e-11,-8.650488027e-05,3.806910594e-06,0.001227179022,0.001395600932
52.49085353,-1.841941822e-05,3.377558517e-24,-4.582049962e-05,1.801621041e-10,-8.266198047e-05,8.161368988e-06,0.00186916995,0.002035183707
53.73563825,-1.877425652e-05,1.371053774e-22,-4.660815063e-05,7.902120932e-10,-7.45037507e-05,1.704202103e-05,0.002767284322,0.002930405142
