# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
39.62217499,-0.92578125,-0.004664773705,-0.0001573515525,5.053991203e-06,9.390697151e-06,2.661671935e-05,0.0001667422497,2.156272815e-05
40.56178779,-0.90234375,-0.004812655617,-0.0001514101052,8.468041627e-06,1.579306127e-05,4.263476228e-05,0.0001672031665,3.416672066e-05
41.52368287,-0.87890625,-0.004951638219,-0.0001412495047,1.330688432e-05,2.621395763e-05,6.736107963e-05,0.0001674634623,5.405419531e-05
42.50838863,-0.85546875,-0.005083041738,-0.0001255069131,2.086008699e-05,4.294459168e-05,0.0001049760205,0.0001684515047,8.411593355e-05
43.51644602,-0.83203125,-0.005201574467,-9.968029203e-05,3.253835959e-05,6.943949535e-05,0.0001613641462,0.0001691197874,0.0001288257867
44.54840879,-0.80859375,-0.005285311112,-5.912800337e-05,4.984813059e-05,0.0001108256347,0.0002446582453,0.0001699536381,0.0001948101147
45.60484386,-0.78515625,-0.005316713199,4.422436645e-06,7.473403067e-05,0.0001745917728,0.0003658883162,0.0001701693362,0.0002911542855
46.68633157,-0.76171875,-0.0052680943,0.000100647583,0.000110231716,0.0002715016293,0.0005397257013,0.0001708540463,0.0004294939853
47.79346602,-0.73828125,-0.005085533296,0.0002456780123,0.0001608966494,0.0004167758056,0.0007852962616,0.0001710977933,0.0006243996121
48.9268554,-0.71484375,-0.00469619184,0.0004611403606,0.0002307164638,0.0006315843416,0.001127015356,0.0001704439809,0.0008962988924
50.08712234,-0.69140625,-0.003996226561,0.0007748622886,0.0003262447767,0.0009448821041,0.001595372164,0.0001700198155,0.001269127387
51.27490422,-0.66796875,-0.002832366038,0.001227179022,0.0004552537598,0.001395600932,0.002227563328,0.0001684219095,0.001772309568
52.49085353,-0.64453125,-0.0009874406245,0.00186916995,0.0006258723127,0.002035183707,0.003067849015,0.0001660137563,0.002441976702
53.73563825,-0.62109375,0.001853719264,0.002767284322,0.0008488074465,0.002930405142,0.004167482425,0.0001631208204,0.003318674979
55.00994219,-0.59765625,0.006110294969,0.004007391161,0.00113580824,0.004166372055,0.005584051888,0.0001589808934,0.004448243647
56.31446538,-0.57421875,0.01235203584,0.005696337419,0.001498716629,0.0058495339,0.007380078582,0.0001531964817,0.005881361953
57.64992444,-0.55078125,0.02136922225,0.007963976454,0.001950431745,0.008110466289,0.009620738273,0.000146489835,0.007670306528
59.017053,-0.52734375,0.03418187063,0.01096755011,0.002504360694,0.01110612228,0.01237062628,0.0001385721737,0.009866265583
60.41660208,-0.50390625,0.05210877092,0.01489273519,0.0031721655,0.01502118725,0.01568956297,0.0001284520629,0.01251739747
61.84934051,-0.48046875,0.07686978841,0.01995203483,0.003963141435,0.0200681335,0.01962754036,0.0001160986684,0.01566439893
63.31605535,-0.45703125,0.1106143886,0.02638367859,0.004883943415,0.02648556231,0.0242190322,0.0001018837159,0.01933508879
64.81755233,-0.43359375,0.1560007337,0.03444861343,0.005937415188,0.03453445461,0.02947701911,8.584117834e-05,0.02353960393
66.35465629,-0.41015625,0.2162991518,0.04442511396,0.007120260803,0.0444920357,0.03538720112,6.692173209e-05,0.02826694032
67.92821162,-0.38671875,0.2954227314,0.0565973188,0.008422339991,0.05664309856,0.04190296349,4.577976119e-05,0.0334806235
69.53908273,-0.36328125,0.3980017041,0.07124543615,0.009827353663,0.07126882233,0.04894170958,2.338617953e-05,0.03911435592
71.18815456,-0.33984375,0.5294131496,0.088633931,0.01131138947,0.088633357,0.05638315913,5.740042486e-07,0.04507176966
72.87633299,-0.31640625,0.6957966509,0.1089943736,0.01284249096,0.1089687055,0.06407012164,2.566815697e-05,0.05122763068
74.60454543,-0.29296875,0.9040605635,0.1325088999,0.01438253028,0.1324586924,0.07181208964,5.020748428e-05,0.05742955936
76.37374124,-0.26953125,1.161784864,0.1592959536,0.01588830843,0.1592230374,0.07939176425,7.291615583e-05,0.06350345582
78.18489232,-0.24609375,1.477180958,0.1893945555,0.01731332256,0.1893027135,0.08657434502,9.184207058e-05,0.06926102246
80.03899361,-0.22265625,1.858961653,0.2227536501,0.0186097808,0.2226478409,0.09311911698,0.000105809241,0.07450933618
81.93706364,-0.19921875,2.316143549,0.2592216414,0.01973141442,0.2591093214,0.09879258662,0.0001123200585,0.0790611722
83.88014511,-0.17578125,2.857902177,0.2985450023,0.02063684112,0.2984352431,0.1033821921,0.0001097592272,0.082745351
85.86930543,-0.15234375,3.493330978,0.3403706904,0.02129072807,0.3402727902,0.1067094766,9.790025566e-05,0.08541874857
87.90563732,-0.12890625,4.23121413,0.3842506623,0.02166702821,0.3841759939,0.1086415907,7.466844411e-05,0.08697456253
89.99025944,-0.10546875,5.079781428,0.4296595172,0.02175119578,0.4296191939,0.1091000915,4.032327798e-05,0.08734889576
92.12431694,-0.08203125,6.046499762,0.4760119886,0.02153938672,0.476015595,0.1080662265,3.606376615e-06,0.08652683978
94.30898216,-0.05859375,7.13790985,0.522682156,0.02104024057,0.5227398491,0.105582206,5.769308892e-05,0.08454196539
96.54545522,-0.03515625,8.359358664,0.5690338016,0.02027480228,0.5691532247,0.1017483439,0.0001194231059,0.08147354165
98.83496471,-0.01171875,9.714849894,0.6144455574,0.0192745952,0.6146296825,0.096716337,0.0001841250657,0.0774417418
101.1787684,0.01171875,11.20704727,0.6583390368,0.0180777925,0.658581091,0.09067930927,0.000242054191,0.07260151677
103.5781537,0.03515625,12.83737732,0.7001919438,0.01672674064,0.7004798982,0.08385953303,0.0002879544774,0.06713279238
106.0344388,0.05859375,14.60611214,0.7395585775,0.01526734248,0.7398778113,0.07649491193,0.0003192338171,0.06122756946
108.5489731,0.08203125,16.51226704,0.7760831457,0.01374631987,0.7764194036,0.06882536625,0.0003362579226,0.05507904637
111.1231378,0.10546875,18.553713,0.8095094612,0.01220865991,0.8098500221,0.06108019097,0.0003405608656,0.04887153106
113.7583471,0.12890625,20.72739368,0.839682621,0.0106956576,0.8400178504,0.05346728284,0.0003352293442,0.04277162524
116.4560485,0.15234375,23.02954745,0.8665484484,0.009242999739,0.8668704523,0.04616488043,0.0003220038655,0.03692188069
119.2177241,0.17578125,25.45596093,0.8901436418,0.007879071508,0.8904465211,0.0393161686,0.0003028792817,0.03143709709
