S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
33.62690316,5.098036659e-07,2.080328865e-64,8.039827236e-07,6.352919976e-26,9.395898107e-07,3.48130503e-13,8.332803946e-07,6.697207018e-07
34.42434219,6.049509726e-07,1.080534966e-61,8.705980154e-07,7.453858342e-25,1.002107892e-06,1.1546494e-12,1.011828575e-06,1.181005537e-06
35.24069194,1.535291286e-07,4.892202039e-59,2.893356301e-07,8.27813256e-24,3.909385238e-07,3.72588921e-12,6.168525935e-07,2.054215571e-06
36.07640087,2.001979319e-07,1.930761687e-56,3.782979295e-07,8.702160919e-23,4.603866536e-07,1.169718841e-11,9.780552209e-07,3.52432518e-06
36.93192806,1.36546965e-07,6.64219604e-54,2.139641018e-07,8.658952053e-22,2.340130944e-07,3.5727677e-11,1.251035985e-06,5.964057221e-06
37.80774349,-2.488107105e-08,1.991835348e-51,-9.640113033e-08,8.15543351e-21,-1.289326073e-07,1.061695116e-10,1.730327099e-06,9.955051321e-06
38.70432829,-1.823260366e-07,5.20659636e-49,-2.820665664e-07,7.270633604e-20,-3.601705798e-07,3.069492703e-10,2.835366587e-06,1.639008017e-05
39.62217499,-5.327129921e-08,1.186350764e-46,-9.355951631e-08,6.135372835e-19,-2.316334482e-07,8.633862677e-10,5.053991203e-06,2.661671935e-05
40.56178779,1.702267758e-07,2.356302518e-44,6.716456965e-08,4.900643948e-18,-1.37250348e-07,2.362737174e-09,8.468041627e-06,4.263476228e-05
41.52368287,-2.016927788e-08,4.079507251e-42,-2.198051612e-07,3.705175923e-17,-4.585536868e-07,6.290677737e-09,1.330688432e-05,6.736107963e-05
42.50838863,-2.753802494e-07,6.156630654e-40,-4.639824016e-07,2.651599984e-16,-7.186309484e-07,1.629488149e-08,2.086008699e-05,0.0001049760205
43.51644602,-2.222574098e-07,8.099108561e-38,-4.220909822e-07,1.796183381e-15,-7.145815775e-07,4.106546276e-08,3.253835959e-05,0.0001613641462
44.54840879,-8.847099431e-08,9.28731272e-36,-2.926577792e-07,1.151693276e-14,-6.041218293e-07,1.006871346e-07,4.984813059e-05,0.0002446582453
45.60484386,-2.078637184e-07,9.28328422e-34,-3.981923989e-07,6.989827864e-14,-6.846823086e-07,2.401833998e-07,7.473403067e-05,0.0003658883162
46.68633157,-4.403860545e-07,8.088573832e-32,-6.720437447e-07,4.015499919e-13,-8.890911448e-07,5.574215316e-07,0.000110231716,0.0005397257013
47.79346602,-1.343063717e-07,6.143289616e-30,-3.886437966e-07,2.183515373e-12,-4.474529008e-07,1.258624665e-06,0.0001608966494,0.0007852962616
48.9268554,-2.075263611e-07,4.067136561e-28,-4.654375402e-07,1.123870775e-11,-1.829149552e-07,2.764906707e-06,0.0002307164638,0.001127015356
50.08712234,-2.829781637e-07,2.347119755e-26,-5.501570568e-07,5.475452221e-11,4.71467765e-07,5.909305891e-06,0.0003262447767,0.001595372164
51.27490422,-6.595415599e-08,1.180702469e-24,-3.27613429e-07,2.525033247e-10,2.181164488e-06,1.228751913e-05,0.0004552537598,0.002227563328
52.49085353,-1.741717283e-07,5.177313023e-23,-4.759348991e-07,1.10219313e-09,4.877052707e-06,2.485785715e-05,0.0006258723127,0.003067849015
53.73563825,-2.545441924e-07,1.978914835e-21,-5.524916719e-07,4.553987037e-09,1.017717322e-05,4.89254597e-05,0.0008488074465,0.004167482425
