x1,x2,S1,S2,delta1,delta2
-2.671875,-2.109375,6.912249904,12.13137638,1.077139472e-07,-3.861920004e-07
-2.671875,-2.015625,6.912249904,13.32371041,1.551783244e-08,-3.363354022e-07
-2.671875,-1.921875,6.912249904,14.63323316,-7.162640528e-08,-2.637265413e-07
-2.671875,-1.828125,6.912249904,16.07146254,-1.596200587e-07,-1.820920797e-07
-2.671875,-1.734375,6.912249904,17.65104849,-2.295897051e-07,-9.788532852e-08
-2.671875,-1.640625,6.912249904,19.38588426,-2.753327643e-07,-2.997249758e-08
-2.671875,-1.546875,6.912249904,21.29122862,-2.976589378e-07,3.05301301e-08
-2.671875,-1.453125,6.912249904,23.38384001,-3.065689623e-07,6.946734314e-08
-2.671875,-1.359375,6.912249904,25.68212401,-2.952328323e-07,9.366365559e-08
-2.671875,-1.265625,6.912249904,28.20629517,-2.679737839e-07,1.033400859e-07
-2.671875,-1.171875,6.912249904,30.97855485,-2.348754272e-07,9.946865201e-08
-2.671875,-1.078125,6.912249904,34.02328646,-2.096394184e-07,8.044773114e-08
-2.671875,-0.984375,6.912249904,37.36726994,-1.869802803e-07,6.440091161e-08
-2.671875,-0.890625,6.912249904,41.03991731,-1.745005753e-07,4.025913191e-08
-2.671875,-0.796875,6.912249904,45.07353134,-1.715069832e-07,2.41524808e-08
-2.671875,-0.703125,6.912249904,49.50358969,-1.931161266e-07,-1.979819604e-09
-2.671875,-0.609375,6.912249904,54.36905695,-2.303502608e-07,-1.302811185e-08
-2.671875,-0.515625,6.912249904,59.71272734,-2.637396812e-07,-2.242676426e-08
-2.671875,-0.421875,6.912249904,65.58160113,-2.928692733e-07,-2.367094289e-08
-2.671875,-0.328125,6.912249904,72.027298,-3.195902993e-07,-3.060226927e-08
-2.671875,-0.234375,6.912249904,79.10651109,-3.56117822e-07,-3.372912749e-08
-2.671875,-0.140625,6.912249904,86.88150563,-3.785792801e-07,-1.880247743e-08
-2.671875,-0.046875,6.912249904,95.4206666,-3.506065962e-07,-2.810689692e-08
-2.671875,0.046875,6.912249904,104.7991002,-2.767344344e-07,-3.338024612e-09
-2.671875,0.140625,6.912249904,115.0992945,-2.311848032e-07,-2.008110317e-08
-2.671875,0.234375,6.912249904,126.4118448,-1.905560121e-07,-1.121595868e-09
-2.671875,0.328125,6.912249904,138.8362507,-6.523609778e-08,1.514843959e-09
-2.671875,0.421875,6.912249904,152.4817911,5.838020736e-08,-1.226557993e-09
-2.671875,0.515625,6.912249904,167.4684853,1.647254871e-07,1.650588848e-09
-2.671875,0.609375,6.912249904,183.9281489,2.796260966e-07,2.83704085e-09
-2.671875,0.703125,6.912249904,202.0055528,3.875466046e-07,-7.907122296e-10
-2.671875,0.796875,6.912249904,221.8596969,4.868611601e-07,4.437198765e-10
-2.671875,0.890625,6.912249904,243.6652083,5.768462962e-07,-1.464259e-09
-2.671875,0.984375,6.912249904,267.6138775,6.327185723e-07,-2.63685532e-09
-2.671875,1.078125,6.912249904,293.916345,6.671202929e-07,-2.384141611e-09
-2.671875,1.171875,6.912249904,322.8039542,6.859175882e-07,-2.099205943e-09
-2.671875,1.265625,6.912249904,354.5307861,6.804528739e-07,-1.567605218e-09
-2.671875,1.359375,6.912249904,389.3758942,6.546576954e-07,-8.956469204e-10
-2.671875,1.453125,6.912249904,427.6457586,6.073668595e-07,1.053124177e-10
-2.671875,1.546875,6.912249904,469.676982,5.491498385e-07,1.660456474e-09
-2.671875,1.640625,6.912249904,515.83925,4.993624656e-07,2.698222814e-09
-2.671875,1.734375,6.912249904,566.5385831,4.4048341e-07,3.186006309e-09
-2.671875,1.828125,6.912249904,622.2209072,3.715161612e-07,3.005463501e-09
-2.671875,1.921875,6.912249904,683.3759764,3.076677604e-07,2.87330951e-09
-2.671875,2.015625,6.912249904,750.5416801,2.449588872e-07,3.411304317e-09
-2.671875,2.109375,6.912249904,824.3087744,2.025584717e-07,3.51232615e-09
-2.671875,2.203125,6.912249904,905.326078,1.819589507e-07,2.906809771e-09
-2.671875,2.296875,6.912249904,994.3061786,1.609395964e-07,1.187947798e-09
-2.671875,2.390625,6.912249904,1092.031701,1.37942622e-07,-4.954504492e-11
-2.671875,2.484375,6.912249904,1199.36219,1.225892526e-07,-2.509146568e-10
-2.671875,2.578125,6.912249904,1317.241671,7.405089419e-08,-1.413051661e-09
-2.671875,2.671875,6.912249904,1446.706953,-1.47361848e-08,-9.373108449e-10
-2.671875,2.765625,6.912249904,1588.896749,-4.134106041e-08,9.04456393e-10
