# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
37.36726994,-0.984375,-0.0001351231029,2.000613979e-07,5.454319756e-06,2.416896397e-06,1.543718696e-06,2.216834999e-06,3.91060106e-06
41.03991731,-0.890625,-0.0001153812726,3.398975352e-05,2.640597827e-05,2.038034405e-05,1.073648086e-05,1.360940947e-05,1.566949742e-05
45.07353134,-0.796875,0.0001625408887,0.0002036914325,0.000107353572,0.0001393276581,5.994179037e-05,6.436377441e-05,4.741178167e-05
49.50358969,-0.703125,0.001737364149,0.0009425952164,0.0003919201099,0.0007737507767,0.0002686404668,0.0001688444397,0.0001232796431
54.36905695,-0.609375,0.009630318426,0.003846794851,0.001245259273,0.003499676944,0.000966467207,0.0003471179076,0.0002787920665
59.71272734,-0.515625,0.04578459347,0.01365561855,0.003295599852,0.0129360903,0.002791108879,0.0007195282461,0.0005044909735
65.58160113,-0.421875,0.1847180469,0.04079885378,0.007109604915,0.03925691766,0.006470538122,0.001541936117,0.0006390667932
72.027298,-0.328125,0.6154319374,0.1012073506,0.01245127271,0.09841687138,0.01204142787,0.002790479213,0.0004098448379
79.10651109,-0.234375,1.696258331,0.209201196,0.01775562657,0.2055740214,0.01798827604,0.00362717468,0.0002326494672
86.88150563,-0.140625,3.935424298,0.3649531143,0.02070114536,0.3619973657,0.0215712377,0.002955748582,0.0008700923391
95.4206666,-0.046875,7.861363668,0.5469229008,0.01978728226,0.5460251257,0.02076512511,0.0008977750823,0.0009778428441
104.7991002,0.046875,13.84243632,0.7194936156,0.0155179517,0.7205159786,0.016046045,0.001022363037,0.0005280933059
115.0992945,0.140625,21.9759233,0.8522948975,0.009972850633,0.8538581468,0.009953490955,0.001563249313,1.935967782e-05
