x,S,Delta_DPG,Delta_exact
-0.791015625,45.33840932,-0.0008633103318,0.0001560295193
-0.779296875,45.87284414,-0.0008260165182,0.0001952039466
-0.767578125,46.41357871,-0.0007802634853,0.0002434235952
-0.755859375,46.96068729,-0.0007221337613,0.0003025736048
-0.744140625,47.51424501,-0.0006523419404,0.0003748830439
-0.732421875,48.07432789,-0.000565953065,0.0004629766846
-0.720703125,48.64101286,-0.0004595336485,0.0005699322823
-0.708984375,49.21437772,-0.0003313961154,0.0006993434851
-0.697265625,49.79450124,-0.0001766998773,0.0008553884004
-0.685546875,50.38146306,8.894305579e-06,0.001042903724
-0.673828125,50.9753438,0.0002322390825,0.00126746419
-0.662109375,51.57622503,0.000497302003,0.001535466929
-0.650390625,52.18418925,0.000813859072,0.001854220131
-0.638671875,52.79931995,0.001189142387,0.0022320352
-0.626953125,53.42170163,0.001633255589,0.002678321328
-0.615234375,54.05141974,0.00215625123,0.003203681198
-0.603515625,54.68856078,0.002769867012,0.003820006215
-0.591796875,55.33321223,0.003487658123,0.004540569439
-0.580078125,55.98546262,0.004323382192,0.005380114058
-0.568359375,56.64540154,0.005295461762,0.006354935036
-0.556640625,57.31311961,0.006419752749,0.007482951257
-0.544921875,57.98870852,0.007717286118,0.008783765303
-0.533203125,58.67226107,0.00920906062,0.01027870779
-0.521484375,59.36387112,0.0109188352,0.01199086306
-0.509765625,60.06363365,0.01287207336,0.01394507293
-0.498046875,60.77164475,0.01509537113,0.01616791523
-0.486328125,61.48800167,0.01761612949,0.01868765387
-0.474609375,62.21280278,0.02046427985,0.02153415747
-0.462890625,62.94614761,0.02367137621,0.0247387836
-0.451171875,63.68813688,0.02726987351,0.02833422652
-0.439453125,64.43887248,0.03129249248,0.03235432619
-0.427734375,65.19845752,0.03577512626,0.0368338375
-0.416015625,65.96699631,0.0407538293,0.04180815897
-0.404296875,66.74459438,0.04626185344,0.04731302122
-0.392578125,67.53135854,0.05233753222,0.05338413617
-0.380859375,68.32739683,0.05901409851,0.0600568093
-0.369140625,69.13281856,0.06632817437,0.0673655178
-0.357421875,69.94773435,0.07431128904,0.0753434589
-0.345703125,70.77225611,0.08299521745,0.08402207353
-0.333984375,71.60649707,0.09240969214,0.09343055162
-0.322265625,72.45057179,0.1025797114,0.1035953261
-0.310546875,73.30459621,0.1135297144,0.1145395636
-0.298828125,74.16868759,0.1252770445,0.1262826611
-0.287109375,75.04296461,0.1378392108,0.1388397572
-0.275390625,75.92754733,0.1512242709,0.1522212685
-0.263671875,76.82255723,0.1654388055,0.1664324605
-0.251953125,77.72811723,0.1804823001,0.1814730634
-0.240234375,78.64435168,0.1963479242,0.1973369419
-0.228515625,79.57138641,0.213025489,0.2140118289
-0.216796875,80.50934873,0.2304932198,0.2314791305
-0.205078125,81.45836746,0.2487288329,0.2497138101
-0.193359375,82.41857292,0.2676985484,0.2686843567
-0.181640625,83.39009697,0.287363287,0.2883528436
-0.169921875,84.37307305,0.3076835062,0.3086750777
-0.158203125,85.36763613,0.3286019159,0.3296008427
-0.146484375,86.37392282,0.3500708595,0.3510742337
-0.134765625,87.39207129,0.3720236864,0.3730340809
-0.123046875,88.42222137,0.3943934872,0.3954144577
-0.111328125,89.46451453,0.4171205883,0.4181452654
-0.099609375,90.51909392,0.4401148693,0.4411528875
-0.087890625,91.58610435,0.4633155396,0.4643609025
-0.076171875,92.66569237,0.4866365965,0.4876908443
-0.064453125,93.75800623,0.5099937388,0.5110629965
-0.052734375,94.86319594,0.5333227973,0.5343972093
-0.041015625,95.98141327,0.5565251396,0.5576137225
-0.029296875,97.1128118,0.5795350761,0.5806339829
-0.017578125,98.2575469,0.6022765755,0.6033814404
-0.005859375,99.41577577,0.6246632889,0.6257823106
0.005859375,100.5876575,0.646641192,0.64776629
0.017578125,101.7733529,0.6681362545,0.669267214
0.029296875,102.973025,0.6890817931,0.6902236457
0.041015625,104.1868385,0.709434999,0.7105793878
0.052734375,105.4149599,0.7291362652,0.7302839114
0.064453125,106.6575581,0.7481363783,0.7492926953
0.076171875,107.9148037,0.7664117735,0.7675674739
0.087890625,109.1868692,0.7839193291,0.7850763918
0.099609375,110.4739295,0.8006303391,0.8017940671
0.111328125,111.7761612,0.8165416989,0.8177015644
0.123046875,113.0937432,0.8316282704,0.8327862835
0.134765625,114.4268565,0.8458811228,0.8470417682
0.146484375,115.7756841,0.8593131604,0.8604674437
0.158203125,117.1404112,0.8719205525,0.8730682896
0.169921875,118.5212253,0.8837048672,0.8848544581
0.181640625,119.918316,0.8946971757,0.8958408474
0.193359375,121.3318752,0.9049117884,0.9060466397
0.205078125,122.7620969,0.9143592595,0.9154948131
0.216796875,124.2091777,0.9230803963,0.9242116391
0.228515625,125.6733161,0.9311060796,0.9322261735
0.240234375,127.1547134,0.9384530698,0.9395697499
0.251953125,128.653573,0.9451600488,0.9462754839
0.263671875,130.1701006,0.9512736409,0.9523777961
0.275390625,131.7045045,0.9568151299,0.9579119589
0.287109375,133.2569955,0.9618164956,0.9629136724
0.298828125,134.8277868,0.9663278603,0.9674186756
0.310546875,136.4170941,0.9703835746,0.9714623929
0.322265625,138.0251357,0.9740035162,0.9750796208
0.333984375,139.6521323,0.9772294397,0.9783042541
0.345703125,141.2983074,0.9801063246,0.9811690534
0.357421875,142.9638872,0.982654263,0.9837054517
0.369140625,144.6491002,0.9848944089,0.9859434003
0.380859375,146.354178,0.9868687723,0.9879112511
0.392578125,148.0793548,0.9886107311,0.9896356733
0.404296875,149.8248674,0.9901296407,0.9911416021
0.416015625,151.5909555,0.991445247,0.9924522157
0.427734375,153.3778617,0.9925955606,0.9935889378
0.439453125,155.1858314,0.9936031135,0.9945714622
0.451171875,157.0151129,0.9944682102,0.9954177961
0.462890625,158.8659573,0.99520799,0.9961443194
0.474609375,160.738619,0.9958531692,0.996765856
0.486328125,162.6333549,0.9964194223,0.9972957553
0.498046875,164.5504255,0.9969022626,0.99774598
0.509765625,166.4900938,0.9973109267,0.9981271992
0.521484375,168.4526263,0.9976696735,0.9984488832
0.533203125,170.4382926,0.9979919207,0.9987193997
0.544921875,172.4473653,0.9982730837,0.9989461079
0.556640625,174.4801202,0.9985116088,0.9991354513
0.568359375,176.5368367,0.998724022,0.9992930464
0.580078125,178.617797,0.9989268313,0.9994237671
0.591796875,180.7232871,0.9991193513,0.9995318247
0.603515625,182.853596,0.9992909886,0.9996208423
0.615234375,185.0090164,0.9994470671,0.9996939236
0.626953125,187.1898441,0.9996043516,0.9997537159
0.638671875,189.3963788,0.9997699932,0.999802468
0.650390625,191.6289233,0.9999343578,0.9998420823
0.662109375,193.8877844,1.000091149,0.9998741612
0.673828125,196.1732723,1.00024855,0.9999000491
0.685546875,198.4857007,1.000419586,0.9999208692
0.697265625,200.8253874,1.000606179,0.9999375562
0.708984375,203.1926535,1.000798623,0.9999508848
0.720703125,205.5878242,1.000990864,0.9999614944
0.732421875,208.0112284,1.001189781,0.9999699107
0.744140625,210.4631989,1.001406347,0.9999765643
0.755859375,212.9440725,1.001641203,0.9999818063
0.767578125,215.4541899,1.001885063,0.999985922
0.779296875,217.9938957,1.00213201,0.9999891425
0.791015625,220.5635388,1.002385453,0.9999916537
0.802734375,223.163472,1.002652764,0.9999936051
0.814453125,225.7940523,1.00293576,0.9999951164
0.826171875,228.4556412,1.003226498,0.9999962828
0.837890625,231.148604,1.003515372,0.99999718
0.849609375,233.8733106,1.003800282,0.9999978676
0.861328125,236.6301352,1.004083625,0.9999983929
0.873046875,239.4194563,1.004359747,0.9999987928
0.884765625,242.2416571,1.004611189,0.9999990962
0.896484375,245.0971251,1.004813432,0.9999993256
0.908203125,247.9862525,1.004944004,0.9999994984
0.919921875,250.9094359,1.00498681,0.9999996282
0.931640625,253.867077,1.004934097,0.9999997253
0.943359375,256.8595817,1.004782068,0.9999997977
0.955078125,259.8873612,1.004533861,0.9999998515
0.966796875,262.9508312,1.004205061,0.9999998914
0.978515625,266.0504124,1.003824281,0.9999999208
0.990234375,269.1865304,1.003425563,0.9999999425
1.001953125,272.3596161,1.003036428,0.9999999583
1.013671875,275.570105,1.002671385,0.9999999699
1.025390625,278.8184382,1.002330868,0.9999999784
1.037109375,282.1050618,1.002009699,0.9999999845
1.048828125,285.430427,1.001703886,0.9999999889
1.060546875,288.7949905,1.001411638,0.9999999921
1.072265625,292.1992145,1.001133526,0.9999999944
1.083984375,295.6435663,1.000871009,0.999999996
1.095703125,299.1285192,1.000626012,0.9999999972
1.107421875,302.6545515,1.000403011,0.999999998
1.119140625,306.2221476,1.0002071,0.9999999986
1.130859375,309.8317973,1.000040266,0.999999999
1.142578125,313.4839965,0.9998984563,0.9999999993
1.154296875,317.1792467,0.9997723013,0.9999999995
1.166015625,320.9180553,0.9996541558,0.9999999997
1.177734375,324.7009357,0.9995423854,0.9999999998
1.189453125,328.5284076,0.9994427627,0.9999999998
1.201171875,332.4009965,0.999362821,0.9999999999
1.212890625,336.3192343,0.9993054761,0.9999999999
1.224609375,340.283659,0.9992676683,1
1.236328125,344.2948151,0.9992417313,1
1.248046875,348.3532534,0.9992206348,1
1.259765625,352.4595314,0.9992012609,1
1.271484375,356.6142128,0.9991849271,1
1.283203125,360.8178683,0.9991754328,1
1.294921875,365.0710751,0.9991736839,1
1.306640625,369.3744174,0.9991797907,1
1.318359375,373.7284862,0.9991933327,1
1.330078125,378.1338793,0.9992113155,1
1.341796875,382.5912018,0.9992317812,1
1.353515625,387.1010658,0.9992537659,1
1.365234375,391.6640907,0.9992757129,1
1.376953125,396.2809031,0.9992975272,1
1.388671875,400.952137,0.9993206506,1
1.400390625,405.6784339,0.9993468368,1
1.412109375,410.4604429,0.9993762125,1
1.423828125,415.2988207,0.9994073759,1
1.435546875,420.1942318,0.9994374909,1
1.447265625,425.1473484,0.9994631368,1
1.458984375,430.1588508,0.9994852306,1
1.470703125,435.2294272,0.9995065179,1
1.482421875,440.359774,0.9995298921,1
1.494140625,445.5505957,0.9995575118,1
1.505859375,450.8026051,0.9995871375,1
1.517578125,456.1165236,0.9996147594,1
1.529296875,461.4930808,0.9996382249,1
1.541015625,466.9330152,0.9996570459,1
1.552734375,472.4370738,0.9996738076,1
1.564453125,478.0060126,0.9996919165,1
1.576171875,483.6405962,0.999711918,1
1.587890625,489.3415985,0.9997324197,1
1.599609375,495.1098024,0.9997514724,1
1.611328125,500.9460001,0.9997670479,1
1.623046875,506.850993,0.9997804427,1
1.634765625,512.8255921,0.9997937848,1
1.646484375,518.8706179,0.9998078516,1
1.658203125,524.9869006,0.99982295,1
1.669921875,531.17528,0.9998375587,1
1.681640625,537.4366061,0.9998497595,1
1.693359375,543.7717388,0.9998593423,1
1.705078125,550.181548,0.9998672564,1
1.716796875,556.666914,0.9998753333,1
1.728515625,563.2287274,0.9998846402,1
1.740234375,569.8678894,0.999894617,1
1.751953125,576.5853118,0.999904196,1
1.763671875,583.381917,0.9999120011,1
1.775390625,590.2586384,0.9999177774,1
1.787109375,597.2164204,0.9999225866,1
1.798828125,604.2562186,0.9999279066,1
1.810546875,611.3789997,0.9999342078,1
1.822265625,618.5857419,0.9999411776,1
1.833984375,625.8774349,0.999947856,1
1.845703125,633.25508,0.9999528876,1
1.857421875,640.7196905,0.9999561383,1
1.869140625,648.2722915,0.9999583841,1
1.880859375,655.9139201,0.999960571,1
1.892578125,663.6456258,0.999963772,1
1.904296875,671.4684705,0.9999680605,1
1.916015625,679.3835283,0.9999729429,1
1.927734375,687.3918864,0.9999773186,1
1.939453125,695.4946444,0.9999805485,1
1.951171875,703.6929152,0.9999824516,1
1.962890625,711.9878246,0.9999835481,1
1.974609375,720.3805118,0.9999848551,1
1.986328125,728.8721293,0.9999866366,1
1.998046875,737.4638433,0.999989042,1
2.009765625,746.1568337,0.9999916152,1
2.021484375,754.9522944,0.9999937984,1
2.033203125,763.8514331,0.9999954495,1
2.044921875,772.8554721,0.9999964074,1
2.056640625,781.9656478,0.9999974749,1
2.068359375,791.1832115,0.9999989147,1
2.080078125,800.5094288,1.000000726,1
2.091796875,809.9455806,1.000002633,1
2.103515625,819.4929628,1.000004121,1
2.115234375,829.1528865,1.000004893,1
2.126953125,838.9266784,1.000004968,1
2.138671875,848.8156806,1.000005157,1
2.150390625,858.8212513,1.000005785,1
2.162109375,868.9447644,1.000007074,1
2.173828125,879.1876103,1.000008801,1
2.185546875,889.5511957,1.000010111,1
2.197265625,900.0369437,1.000010779,1
2.208984375,910.6462943,1.000010839,1
2.220703125,921.3807047,1.000010956,1
2.232421875,932.2416489,1.000011482,1
2.244140625,943.2306184,1.000012473,1
2.255859375,954.3491225,1.000013502,1
2.267578125,965.5986879,1.000014016,1
2.279296875,976.9808597,1.000014153,1
2.291015625,988.4972009,1.000014259,1
2.302734375,1000.149293,1.000014841,1
2.314453125,1011.938737,1.000015755,1
2.326171875,1023.86715,1.000016539,1
2.337890625,1035.936172,1.000016877,1
2.349609375,1048.14746,1.000016703,1
2.361328125,1060.50269,1.000016674,1
2.373046875,1073.003561,1.000017124,1
2.384765625,1085.651787,1.000018027,1
2.396484375,1098.449107,1.000018778,1
2.408203125,1111.397277,1.000019203,1
2.419921875,1124.498077,1.000019243,1
2.431640625,1137.753304,1.000019172,1
2.443359375,1151.16478,1.000019276,1
2.455078125,1164.734346,1.000019532,1
2.466796875,1178.463866,1.000020151,1
2.478515625,1192.355225,1.000021021,1
2.490234375,1206.410331,1.000021854,1
2.501953125,1220.631115,1.000022267,1
2.513671875,1235.019528,1.000022586,1
2.525390625,1249.577547,1.000023122,1
2.537109375,1264.307172,1.000023814,1
2.548828125,1279.210425,1.000024389,1
2.560546875,1294.289353,1.000024797,1
2.572265625,1309.546026,1.000025214,1
2.583984375,1324.98254,1.00002557,1
2.595703125,1340.601015,1.000025953,1
2.607421875,1356.403595,1.000026461,1
2.619140625,1372.392452,1.000027051,1
2.630859375,1388.56978,1.000027435,1
2.642578125,1404.937801,1.000027867,1
2.654296875,1421.498763,1.00002827,1
2.666015625,1438.254941,1.000028371,1
2.677734375,1455.208635,1.000028333,1
2.689453125,1472.362174,1.000028339,1
2.701171875,1489.717913,1.000028228,1
2.712890625,1507.278237,1.000027991,1
2.724609375,1525.045555,1.000027639,1
2.736328125,1543.02231,1.000026946,1
2.748046875,1561.210969,1.000026219,1
2.759765625,1579.614029,1.000025529,1
2.771484375,1598.23402,1.000024651,1
2.783203125,1617.073497,1.000023561,1
2.794921875,1636.135047,1.000022197,1
2.806640625,1655.421289,1.000020385,1
2.818359375,1674.934872,1.000018254,1
2.830078125,1694.678474,1.000015738,1
2.841796875,1714.654808,1.000012869,1
2.853515625,1734.866616,1.000009816,1
2.865234375,1755.316675,1.000006559,1
2.876953125,1776.007792,1.000003039,1
2.888671875,1796.94281,0.9999990684,1
2.900390625,1818.124603,0.9999945757,1
2.912109375,1839.556081,0.9999895422,1
2.923828125,1861.240186,0.9999840302,1
2.935546875,1883.179896,0.999978101,1
2.947265625,1905.378225,0.9999716524,1
2.958984375,1927.83822,0.99996467,1
2.970703125,1950.562967,0.999957136,1
2.982421875,1973.555586,0.9999493176,1
2.994140625,1996.819235,0.9999430817,1
